,coin,time,near_symbol,far_symbol,vwap_near,vwap_far,spread,volume_near,volume_far
143,XBT,2018-01-08 22:00:00,XBTH18,XBTM18,15653.432178105757,16888.79248866613,1235.3603105603743,3314209,1799615
144,XBT,2018-01-08 23:00:00,XBTH18,XBTM18,15648.625850001585,16800.367876671145,1151.7420266695608,4439777,3856049
145,XBT,2018-01-09 00:00:00,XBTH18,XBTM18,16002.458841938069,16995.519396695327,993.0605547572577,2246007,2402719
146,XBT,2018-01-09 01:00:00,XBTH18,XBTM18,16171.728407712822,17201.12870379617,1029.4002960833477,3202446,374904
147,XBT,2018-01-09 02:00:00,XBTH18,XBTM18,16215.981084075307,17253.223770393473,1037.2426863181663,712265,50016
148,XBT,2018-01-09 03:00:00,XBTH18,XBTM18,16226.770236508706,17371.713704969832,1144.943468461126,919630,204333
149,XBT,2018-01-09 04:00:00,XBTH18,XBTM18,16231.602937412781,17254.519192813692,1022.9162554009108,1330433,571406
150,XBT,2018-01-09 05:00:00,XBTH18,XBTM18,16011.500866572178,16952.591730310116,941.090863737938,1478825,177868
151,XBT,2018-01-09 06:00:00,XBTH18,XBTM18,15954.199628673636,16759.948515654298,805.7488869806621,4721268,902174
152,XBT,2018-01-09 07:00:00,XBTH18,XBTM18,16101.317923408747,17021.392507018172,920.0745836094247,999904,263003
153,XBT,2018-01-09 08:00:00,XBTH18,XBTM18,16285.904013815503,17380.05938398156,1094.155370166056,1011863,1201746
154,XBT,2018-01-09 09:00:00,XBTH18,XBTM18,16064.930955684466,17420.70411603807,1355.773160353603,2361436,1927807
155,XBT,2018-01-09 10:00:00,XBTH18,XBTM18,15698.637343990298,16671.199942290204,972.5625982999063,5041839,515377
156,XBT,2018-01-09 11:00:00,XBTH18,XBTM18,15668.967982598018,16807.671713994358,1138.7037313963392,1415086,366512
157,XBT,2018-01-09 12:00:00,XBTH18,XBTM18,15871.527534661622,16934.292017017637,1062.764482356015,3720729,337256
158,XBT,2018-01-09 13:00:00,XBTH18,XBTM18,15518.822309874293,16376.080600162393,857.2582902881004,6575191,4162784
159,XBT,2018-01-09 14:00:00,XBTH18,XBTM18,15514.300043430756,16520.2675877644,1005.9675443336437,5401725,727451
160,XBT,2018-01-09 15:00:00,XBTH18,XBTM18,15822.285197739608,16819.682001809626,997.3968040700183,4183074,715067
161,XBT,2018-01-09 16:00:00,XBTH18,XBTM18,16012.431177946553,17216.53463094975,1204.1034530031975,4578595,1748195
162,XBT,2018-01-09 17:00:00,XBTH18,XBTM18,16081.105152289854,17143.116316741776,1062.011164451922,2126879,745578
163,XBT,2018-01-09 18:00:00,XBTH18,XBTM18,16124.189307428274,17140.736771622807,1016.547464194533,1093336,155484
164,XBT,2018-01-09 19:00:00,XBTH18,XBTM18,15980.427097469417,16953.437396458383,973.0102989889656,1348226,143409
165,XBT,2018-01-09 20:00:00,XBTH18,XBTM18,15918.975042427252,16942.829545499513,1023.8545030722617,426589,97845
166,XBT,2018-01-09 21:00:00,XBTH18,XBTM18,15800.764964662525,16633.807952750292,833.0429880877673,724899,963754
